Date,Name / Description,Card Type,Amount,Transaction vs category,Transaction,Category
1-Mar,AMAZON MKTPL*SJ2F PURCHASE XX11229 WA,Debit Card,$142.87 ,AMAZON MKTPL*SJ2F PURCHASE XX11229 WA - Online Shopping,AMAZON MKTPL*SJ2F PURCHASE XX11229 WA,Online Shopping
2-Mar,GROCERY STORE 1234 PURCHASE XX11230 WA,Transfer,$89.95 ,GROCERY STORE 1234 PURCHASE XX11230 WA - Grocery,GROCERY STORE 1234 PURCHASE XX11230 WA,Grocery
3-Mar,SHELL GAS STATION 0012 PURCHASE XX11231 WA,Debit Card,$45.32 ,SHELL GAS STATION 0012 PURCHASE XX11231 WA - Gas Station,SHELL GAS STATION 0012 PURCHASE XX11231 WA,Gas Station
4-Mar,RESTAURANT ABC 5678 PURCHASE XX11232 WA,Debit Card,$78.16 ,RESTAURANT ABC 5678 PURCHASE XX11232 WA - Restaurant,RESTAURANT ABC 5678 PURCHASE XX11232 WA,Restaurant
5-Mar,WALMART SUPERCENTER 0987 PURCHASE XX11233 WA,Transfer,$156.43 ,WALMART SUPERCENTER 0987 PURCHASE XX11233 WA - Retail,WALMART SUPERCENTER 0987 PURCHASE XX11233 WA,Retail
6-Mar,TARGET STORE 4567 PURCHASE XX11234 WA,Debit Card,$92.75 ,TARGET STORE 4567 PURCHASE XX11234 WA - Retail,TARGET STORE 4567 PURCHASE XX11234 WA,Retail
7-Mar,CLOTHING STORE 7890 PURCHASE XX11235 WA,Deposit,$128.99 ,CLOTHING STORE 7890 PURCHASE XX11235 WA - Clothing Store,CLOTHING STORE 7890 PURCHASE XX11235 WA,Clothing Store
8-Mar,SUBWAY SANDWICHES 4321 PURCHASE XX11236 WA,Debit Card,$12.49 ,SUBWAY SANDWICHES 4321 PURCHASE XX11236 WA - Fast Food,SUBWAY SANDWICHES 4321 PURCHASE XX11236 WA,Fast Food
9-Mar,NETFLIX.COM PURCHASE XX11237 WA,Transfer,$15.99 ,NETFLIX.COM PURCHASE XX11237 WA - Streaming Service,NETFLIX.COM PURCHASE XX11237 WA,Streaming Service
10-Mar,SPOTIFY PURCHASE XX11238 WA,Debit Card,$9.99 ,SPOTIFY PURCHASE XX11238 WA - Music Streaming,SPOTIFY PURCHASE XX11238 WA,Music Streaming
11-Mar,APPLE.COM PURCHASE XX11239 WA,Transfer,$49.99 ,APPLE.COM PURCHASE XX11239 WA - Online Shopping,APPLE.COM PURCHASE XX11239 WA,Online Shopping
12-Mar,ADOBE SUBSCRIPTION PURCHASE XX11240 WA,Debit Card,$20.99 ,ADOBE SUBSCRIPTION PURCHASE XX11240 WA - Software Subscription,ADOBE SUBSCRIPTION PURCHASE XX11240 WA,Software Subscription
13-Mar,ELECTRICITY BILL PAYMENT XX11241 WA,Transfer,$125.67 ,ELECTRICITY BILL PAYMENT XX11241 WA - Utility Bill,ELECTRICITY BILL PAYMENT XX11241 WA,Utility Bill
14-Mar,WATER BILL PAYMENT XX11242 WA,Transfer,$45.82 ,WATER BILL PAYMENT XX11242 WA - Utility Bill,WATER BILL PAYMENT XX11242 WA,Utility Bill
15-Mar,CABLE BILL PAYMENT XX11243 WA,Debit Card,$89.99 ,CABLE BILL PAYMENT XX11243 WA - Utility Bill,CABLE BILL PAYMENT XX11243 WA,Utility Bill
16-Mar,CELL PHONE BILL PAYMENT XX11244 WA,Transfer,$75.00 ,CELL PHONE BILL PAYMENT XX11244 WA - Cell Phone Bill,CELL PHONE BILL PAYMENT XX11244 WA,Cell Phone Bill
17-Mar,PAYPAL PAYMENT XX11245 WA,Deposit,$50.00 ,PAYPAL PAYMENT XX11245 WA - Online Payment,PAYPAL PAYMENT XX11245 WA,Online Payment
18-Mar,VENMO PAYMENT XX11246 WA,Transfer,$25.00 ,VENMO PAYMENT XX11246 WA - Online Payment,VENMO PAYMENT XX11246 WA,Online Payment
19-Mar,INTERNET PROVIDER PAYMENT XX11247 WA,Debit Card,$65.99 ,INTERNET PROVIDER PAYMENT XX11247 WA - Internet Service,INTERNET PROVIDER PAYMENT XX11247 WA,Internet Service
20-Mar,AMAZON PRIME PAYMENT XX11248 WA,Transfer,$14.99 ,AMAZON PRIME PAYMENT XX11248 WA - Membership Fee,AMAZON PRIME PAYMENT XX11248 WA,Membership Fee
21-Mar,CINEMARK THEATER PURCHASE XX11249 WA,Debit Card,$32.50 ,CINEMARK THEATER PURCHASE XX11249 WA - Entertainment,CINEMARK THEATER PURCHASE XX11249 WA,Entertainment
